Move,Score
323,768
324,768
325,768
326,768
327,768
328,768
329,768
330,768
331,768
332,768
333,768
334,768
335,768
336,768
337,768
338,768
339,768
340,768
341,768
342,768
343,768
344,768
345,768
346,768
347,768
348,768
349,768
350,768
351,768
352,768
353,768
354,768
355,768
356,768
357,768
358,768
359,768
360,768
361,768
362,768
363,768
364,768
365,768
366,768
367,768
368,768
369,768
370,768
371,768
372,768
373,768
374,768
375,768
376,768
377,768
378,768
379,768
380,768
381,768
382,768
383,768
384,768
385,768
386,768
387,768
388,768
389,768
390,768
391,768
392,768
393,768
394,768
395,768
396,768
397,768
398,768
399,768
400,768
401,768
402,768
403,768
404,768
405,768
406,768
407,768
408,768
409,768
410,768
411,768
412,768
413,768
414,768
415,768
416,768
417,768
418,768
419,768
420,768
421,768
422,768
423,768
424,768
425,768
426,768
427,768
428,768
429,768
430,768
431,768
432,768
433,768
434,768
435,768
436,768
437,768
438,768
439,768
440,768
441,768
442,768
443,768
444,768
445,768
446,768
447,768
448,768
449,768
450,768
451,768
452,768
453,768
454,768
455,768
456,768
457,768
458,768
459,768
460,768
461,768
462,768
463,768
464,768
465,768
466,768
467,768
468,768
469,768
470,768
471,768
472,768
473,768
474,768
475,768
476,768
477,768
478,768
479,768
480,768
481,768
482,768
483,768
484,768
485,768
486,768
487,768
488,768
489,768
490,768
491,768
492,768
493,768
494,768
495,768
496,768
497,768
498,768
499,768
500,768
501,768
502,768
503,768
504,768
505,768
506,768
507,768
508,768
509,768
510,768
511,768
512,768
513,768
514,768
515,768
516,768
517,768
518,768
519,768
520,768
521,768
522,768
523,768
524,768
525,768
526,768
527,768
528,768
529,768
530,768
531,768
532,768
533,768
534,768
535,768
536,768
537,768
538,768
539,768
540,768
541,768
542,768
543,768
544,768
545,768
546,768
547,768
548,768
549,768
550,768
551,768
552,768
553,768
554,768
555,768
556,768
557,768
558,768
559,768
560,768
561,768
562,768
563,768
564,768
565,768
566,768
567,768
568,768
569,768
570,768
571,768
572,768
573,768
574,768
575,768
576,768
577,768
578,768
579,768
580,768
581,768
582,768
583,768
584,768
585,768
586,768
587,768
588,768
589,768
590,768
591,768
592,768
593,768
594,768
595,768
596,768
597,768
598,768
599,768
600,768
601,768
602,768
603,768
604,768
605,768
606,768
607,768
608,768
609,768
610,768
611,768
612,768
613,768
614,768
615,768
616,768
617,768
618,768
619,768
620,768
621,768
622,768
623,768
624,768
625,768
626,768
627,768
628,768
629,768
630,768
631,768
632,768
633,768
634,768
635,768
636,768
637,768
638,768
639,768
640,768
641,768
642,768
643,768
644,768
645,768
646,768
647,768
648,768
649,768
650,768
651,768
652,768
653,768
654,768
655,768
656,768
657,768
658,768
659,768
660,768
661,768
662,768
663,768
664,768
665,768
666,768
667,768
668,768
669,768
670,768
671,768
672,768
673,768
674,768
675,768
676,768
677,768
678,768
679,768
680,768
681,768
682,768
683,768
684,768
685,768
686,768
687,768
688,768
689,768
690,768
691,768
692,768
693,768
694,768
695,768
696,768
697,768
698,768
699,768
700,768
701,768
702,768
703,768
704,768
705,768
706,768
707,768
708,768
709,768
710,768
711,768
712,768
713,768
714,768
715,768
716,768
717,768
718,768
719,768
720,768
721,768
722,768
723,768
724,768
725,768
726,768
727,768
728,768
729,768
730,768
731,768
732,768
733,768
734,768
735,768
736,768
737,768
738,768
739,768
740,768
741,768
742,768
743,768
744,768
745,768
746,768
747,768
748,768
749,768
750,768
751,768
752,768
753,768
754,768
755,768
756,768
757,768
758,768
759,768
760,768
761,768
762,768
763,768
764,768
765,768
766,768
767,768
768,768
769,768
770,768
771,768
772,768
773,768
774,768
775,768
776,768
777,768
778,768
779,768
780,768
781,768
782,768
783,768
784,768
785,768
786,768
787,768
788,768
789,768
790,768
791,768
792,768
793,768
794,768
795,768
796,768
797,768
798,768
799,768
800,768
801,768
802,768
803,768
804,768
805,768
806,768
807,768
808,768
809,768
810,768
811,768
812,768
813,768
814,768
815,768
816,768
817,768
818,768
819,768
820,768
821,768
822,768
823,768
824,768
825,768
826,768
827,768
828,768
829,768
830,768
831,768
832,768
833,768
834,768
835,768
836,768
837,768
838,768
839,768
840,768
841,768
842,768
843,768
844,768
845,768
846,768
847,768
848,768
849,768
850,768
851,768
852,768
853,768
854,768
855,768
856,768
857,768
858,768
859,768
860,768
861,768
862,768
863,768
864,768
865,768
866,768
867,768
868,768
869,768
870,768
871,768
872,768
873,768
874,768
875,768
876,768
877,768
878,768
879,768
880,768
881,768
882,768
883,768
884,768
885,768
886,768
887,768
888,768
889,768
890,768
891,768
892,768
893,768
894,768
895,768
896,768
897,768
898,768
899,768
900,768
901,768
902,768
903,768
904,768
905,768
906,768
907,768
908,768
909,768
910,768
911,768
912,768
913,768
914,768
915,768
916,768
917,768
918,768
919,768
920,768
921,768
922,768
923,768
924,768
925,768
926,768
927,768
928,768
929,768
930,768
931,768
932,768
933,768
934,768
935,768
936,768
937,768
938,768
939,768
940,768
941,768
942,768
943,768
944,768
945,768
946,768
947,768
948,768
949,768
950,768
951,768
952,768
953,768
954,768
955,768
956,768
957,768
958,768
959,768
960,768
961,768
962,768
963,768
964,768
965,768
966,768
967,768
968,768
969,768
970,768
971,768
972,768
973,768
974,768
975,768
976,768
977,768
978,768
979,768
980,768
981,768
982,768
983,768
984,768
985,768
986,768
987,768
988,768
989,768
990,768
991,768
992,768
993,768
994,768
995,768
996,768
997,768
998,768
999,768
1000,768
